"id","log","lat"
"Polygon_1",-116.32333,31.04382
"Polygon_1",-116.32745,31.02882
"Polygon_1",-116.33758,30.98674
"Polygon_1",-116.33899,30.97614
"Polygon_1",-116.33689,30.96834
"Polygon_1",-116.32951,30.95885
"Polygon_1",-116.32556,30.95649
"Polygon_1",-116.31947,30.9559
"Polygon_1",-116.3029,30.95973
"Polygon_1",-116.2835,30.97106
"Polygon_2",-114.79366,27.81388
"Polygon_2",-114.80172,27.81239
"Polygon_2",-114.8096,27.81243
"Polygon_2",-114.82058,27.80963
"Polygon_2",-114.83507,27.81017
"Polygon_2",-114.84097,27.81193
"Polygon_2",-114.84555,27.81666
"Polygon_2",-114.84646,27.8187
"Polygon_2",-114.84874,27.81922
"Polygon_2",-114.85085,27.82095
"Polygon_2",-114.8495,27.82468
"Polygon_2",-114.85282,27.827
"Polygon_2",-114.86233,27.8287
"Polygon_2",-114.8653,27.83056
"Polygon_2",-114.87408,27.82906
"Polygon_2",-114.88062,27.82904
"Polygon_2",-114.88715,27.83007
"Polygon_2",-114.8999,27.83391
"Polygon_2",-114.90827,27.83334
"Polygon_2",-114.91047,27.8346
"Polygon_2",-114.91563,27.83492
"Polygon_2",-114.92332,27.83413
"Polygon_2",-114.93101,27.83258
"Polygon_2",-114.94605,27.82782
"Polygon_2",-114.96639,27.82629
"Polygon_2",-114.98291,27.82568
"Polygon_2",-114.98708,27.8281
"Polygon_2",-114.99414,27.82783
"Polygon_2",-115.00017,27.82817
"Polygon_2",-115.00689,27.82972
"Polygon_2",-115.00914,27.83127
"Polygon_2",-115.01506,27.83293
"Polygon_2",-115.02571,27.8473
"Polygon_2",-115.03413,27.85123
"Polygon_2",-115.03843,27.85439
"Polygon_2",-115.04255,27.85859
"Polygon_2",-115.04703,27.85849
"Polygon_2",-115.05598,27.86204
"Polygon_2",-115.0759,27.8556
"Polygon_2",-115.08004,27.85023
"Polygon_2",-115.08488,27.84769
"Polygon_2",-115.0546,27.8184
"Polygon_2",-115.04633,27.79297
"Polygon_2",-115.03842,27.7842
"Polygon_2",-115.03343,27.77101
"Polygon_2",-115.03457,27.76716
"Polygon_2",-115.03364,27.7633
"Polygon_2",-115.03523,27.76076
"Polygon_2",-115.03218,27.75853
"Polygon_2",-115.03021,27.7544
"Polygon_2",-115.02686,27.75088
"Polygon_2",-115.02532,27.74323
"Polygon_2",-115.02568,27.74009
"Polygon_2",-115.02243,27.73801
"Polygon_2",-115.01947,27.73917
"Polygon_2",-115.01404,27.7329
"Polygon_2",-115.01067,27.72634
"Polygon_2",-115.00716,27.71679
"Polygon_2",-114.99839,27.71637
"Polygon_2",-114.99692,27.71966
"Polygon_2",-114.99575,27.72399
"Polygon_2",-114.99132,27.7265
"Polygon_2",-114.98562,27.72688
"Polygon_2",-114.98335,27.72603
"Polygon_2",-114.98054,27.72297
"Polygon_2",-114.97394,27.72136
"Polygon_2",-114.97319,27.72289
"Polygon_2",-114.96724,27.72123
"Polygon_2",-114.95631,27.71592
"Polygon_2",-114.94993,27.71246
"Polygon_2",-114.94236,27.7058
"Polygon_2",-114.93812,27.69937
"Polygon_2",-114.9363,27.6931
"Polygon_2",-114.93722,27.68715
"Polygon_2",-114.93449,27.68347
"Polygon_2",-114.93417,27.67705
"Polygon_2",-114.92034,27.66888
"Polygon_2",-114.91453,27.66873
"Polygon_2",-114.9125,27.66676
"Polygon_2",-114.90707,27.66403
"Polygon_2",-114.89889,27.66344
"Polygon_2",-114.89823,27.6677
"Polygon_2",-114.90072,27.67507
"Polygon_2",-114.89665,27.6783
"Polygon_2",-114.89101,27.68037
"Polygon_2",-114.89042,27.68688
"Polygon_2",-114.89167,27.68922
"Polygon_2",-114.88817,27.69085
"Polygon_2",-114.88625,27.69364
"Polygon_2",-114.8774,27.69458
"Polygon_2",-114.87589,27.69778
"Polygon_2",-114.85961,27.69126
"Polygon_2",-114.85421,27.68541
"Polygon_2",-114.84946,27.67822
"Polygon_2",-114.84677,27.67042
"Polygon_2",-114.84893,27.65755
"Polygon_2",-114.84822,27.65423
"Polygon_2",-114.84887,27.64696
"Polygon_2",-114.8533,27.64121
"Polygon_2",-114.8565,27.64008
"Polygon_2",-114.86004,27.64441
"Polygon_2",-114.86677,27.64761
"Polygon_2",-114.872,27.65096
"Polygon_2",-114.87421,27.64307
"Polygon_2",-114.87061,27.64048
"Polygon_2",-114.86469,27.63737
"Polygon_2",-114.86328,27.63398
"Polygon_2",-114.86463,27.63153
"Polygon_2",-114.85895,27.62407
"Polygon_2",-114.85577,27.62308
"Polygon_2",-114.85315,27.62269
"Polygon_2",-114.85259,27.62056
"Polygon_2",-114.84813,27.61706
"Polygon_2",-114.84264,27.61706
"Polygon_2",-114.84196,27.62201
"Polygon_2",-114.84384,27.62509
"Polygon_2",-114.84213,27.6273
"Polygon_2",-114.83869,27.6286
"Polygon_2",-114.82676,27.62869
"Polygon_2",-114.81483,27.62634
"Polygon_2",-114.79216,27.61102
"Polygon_2",-114.77841,27.59448
"Polygon_2",-114.76569,27.56728
"Polygon_2",-114.76242,27.55186
"Polygon_2",-114.74954,27.5416
"Polygon_2",-114.73365,27.52557
"Polygon_2",-114.70163,27.54925
"Polygon_2",-114.68565,27.56496
"Polygon_2",-114.6949,27.59271
"Polygon_2",-114.74771,27.66886
"Polygon_2",-114.77782,27.71043
"Polygon_2",-114.83608,27.72829
"Polygon_2",-114.89919,27.74876
"Polygon_2",-114.90981,27.76204
"Polygon_2",-114.92027,27.77961
